,location,latitude,longitude,address,ward,Dipika Damerla,Stephen Dasko,Carolyn Parrish,Alvin Tedjo,total
128,St. Philip CS,43.5789177,-79.6329483,"345 Fairview Rd W, Mississauga, ON L5B 3W5",7,256,109,283,225,954
129,St. Raphael CS,43.7213746,-79.646495,"3470 Clara Dr, Mississauga, ON L4T 2C7",5,47,12,183,43,338
130,St. Richard CS,43.5938591,-79.7712012,"7270 Copenhagen Rd, Mississauga, ON L5N 2C3",9,129,84,177,325,789
131,St. Rose of Lima SS,43.5608084,-79.698749,"4590 The Gallops, Mississauga, ON L5M 3A9",8,76,101,167,137,548
132,St. Simon Stock CS,43.565415,-79.7706664,"6440 Lisgar Dr, Mississauga, ON L5N 6X3",10,208,94,400,416,1215
133,St. Thomas More SS,43.6053953,-79.602156,"3270 Tomken Rd, Mississauga, ON L4Y 2Y7",3,281,166,213,127,896
134,St. Timothy SS,43.5799982,-79.6005183,"2214 Cliff Rd, Mississauga, ON L5A 2N9",7,148,120,159,88,557
135,St. Valentine CS,43.6008652,-79.6898744,"5610 Heatherleigh Ave, Mississauga, ON L5V 2V7",6,174,77,465,363,1173
136,Streetsville Heritage Hall,43.577515,-79.707977,"327 Queen St S, Mississauga, ON L5M 1M3",11,188,118,354,272,997
137,Streetsville SS,43.5785392,-79.7204597,"72 Joymar Dr, Mississauga, ON L5M 1G3",11,206,129,257,306,979
138,Sts. Martha and Mary CS,43.6361798,-79.602457,"1760 Bough Beeches Blvd, Mississauga, ON L4W 2B9",3,282,250,292,201,1082
139,Sts. Peter & Paul SS,43.6023154,-79.6353669,"4205 Woodington Dr, Mississauga, ON L4Z 1K2",4,115,64,154,162,539
140,Summerville Pines,43.6181184,-79.5765276,"1745 Dundas St E, Mississauga, ON L4X 2R6",3,24,16,42,15,116
141,Sunrise Senior Living,43.6210063,-79.6057242,"1279 Burnhamthorpe Rd E, Mississauga, ON L4Y 3V7",3,0,1,2,0,11
142,Sunrise Senior Living,43.6210063,-79.6057242,"1279 Burnhamthorpe Rd E, Mississauga, ON L4Y 3V7",8,1,0,1,2,6
143,The Erinview,43.5347225,-79.6673691,"2630 Fifth Line W, Mississauga, ON L5K 0A8",2,0,7,2,0,11
144,The Wenleigh,43.5249046,-79.6522242,"2065 Leanne Blvd, Mississauga, ON L5K 2L6",2,2,0,5,1,14
145,Thornwood PS,43.5890308,-79.6210421,"277 Mississauga Vly Blvd, Mississauga, ON L5A 1Y6",4,174,44,124,155,538
146,Tyndall Seniors Village,43.6283952,-79.6276524,"1060 Eglinton Ave E, Mississauga, ON L4W 1K3",3,1,0,5,1,13
147,Villa Forum LTC,43.6117334,-79.6518104,"175 Forum Dr, Mississauga, ON L4Z 4E5",5,1,0,2,0,9
148,Village of Erin Meadows,43.55311,-79.7220114,"2930 Erin Centre Blvd, Mississauga, ON L5M 7M4",9,26,9,24,10,81
149,Vista Heights PS,43.5749911,-79.7260753,"89 Vista Blvd, Mississauga, ON L5M 1V8",11,170,127,263,250,887
150,Viva Mississauga,43.559533,-79.7353404,"5575 Bonnie St, Mississauga, ON L5M 0N8",10,7,4,15,12,41
151,Walden Circle,43.5140718,-79.6272619,"1907 Lakeshore Rd W, Mississauga, ON L5J 1J6",2,6,18,4,8,38
152,Wawel Villa,43.5133731,-79.6215735,"880 Clarkson Rd S, Mississauga, ON L5J 4N4",2,1,12,3,1,27
153,Wellbrook Place,43.5244264,-79.6599716,"2180 Speakman Dr, Mississauga, ON L5K 0B1",2,6,2,8,1,49
154,Westacres PS,43.5902392,-79.5834708,"2165 Breezy Brae Dr, Mississauga, ON L4Y 1N3",1,106,726,118,184,1178
155,Whitehorn PS,43.59617,-79.7029782,"5785 Whitehorn Ave, Mississauga, ON L5V 2A9",6,258,77,483,438,1363
156,Woodlands Library,43.5628379,-79.6499096,"3255 Erindale Station Rd, Mississauga, ON L5C 1Y5",6,157,58,323,162,761
157,Yee Hong Centre for GC,43.604795,-79.6871976,"5510 Mavis Rd, Mississauga, ON L5V 2X5",6,2,2,1,3,8
